ID,CODE,LOCALITY,STATION,HABITAT,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMPERATURE,CONDUCTIVITY,TDS,SALINITY,DO,pH,CODE_species,macrura,mento,megarostris,neptunia,neptunoida,ovata,rotatoria,tardigrada,cf_neptunoida,RICHNESS,AET,PREC,MEAN_AIR_TEMP,SRAD,Chla,Phycocyanin_BGA.PC
171,C11_f,NN01 _ Nakhon Nayok,NA,Pond,13/07/19,14.27453,101.0488,8,30.18,356.57,248.5,0.15,6.82,7.31,C11_f,0,1,0,0,0,0,1,1,0,3,1237,1306,27.80000003,18511.75,2.2,0.27
172,C12_a,NN02 _ Nakhon Nayok,NA,Pond,28/04/18,14.2743,101.05,NA,29.548,143.67,86,0.06,7,7.56,C12_a,0,0,0,0,0,0,1,1,0,2,1237,1313,27.7833333,18509.41667,2.92,0.62
173,C12_b,NN02 _ Nakhon Nayok,NA,Pond,14/07/18,14.2743,101.05,NA,30.613,147.07,86.33,0.06,5.66,7.44,C12_b,0,0,0,0,0,0,1,1,0,2,1237,1313,27.7833333,18509.41667,2.61,0.37
174,C12_c,NN02 _ Nakhon Nayok,NA,Pond,06/10/18,14.2743,101.05,NA,31.33,154.57,88.33,0.06,3.94,7.26,C12_c,0,0,0,0,0,0,0,0,0,0,1237,1313,27.7833333,18509.41667,2.98,0.24
175,C12_d,NN02 _ Nakhon Nayok,NA,Pond,12/01/19,14.2743,101.05,NA,27.63,180.3,111.67,0.08,7.18,6.87,C12_d,0,0,0,0,0,0,0,0,0,0,1237,1313,27.7833333,18509.41667,30.36,1.32
176,C12_e,NN02 _ Nakhon Nayok,NA,Pond,20/04/19,14.2743,101.05,NA,33.07,200.3,113,0.08,6.75,6.67,C12_e,0,0,0,0,0,0,0,0,0,0,1237,1313,27.7833333,18509.41667,2.57,0.11
177,C12_f,NN02 _ Nakhon Nayok,NA,Pond,13/07/19,14.2743,101.05,NA,32.01,185.13,106.33,0.08,4.55,7.18,C12_f,0,0,0,0,0,0,0,0,0,0,1237,1313,27.7833333,18509.41667,0.42,0.03
178,C13_a,NN03 _ Nakhon Nayok,NA,Vegetative swamp,28/04/18,14.27308,101.0424,NA,28.239,84.33,51.67,0.04,3.27,7.03,C13_a,0,0,0,1,0,0,0,0,0,1,1237,1306,27.80000003,18511.75,5.07,0.48
179,C13_b,NN03 _ Nakhon Nayok,NA,Vegetative swamp,14/07/18,14.27308,101.0424,NA,30.347,95.1,5.63,0.04,3.1,6.64,C13_b,0,1,0,1,0,0,0,0,0,2,1237,1306,27.80000003,18511.75,15.72,0.62
180,C13_c,NN03 _ Nakhon Nayok,NA,Vegetative swamp,06/10/18,14.27308,101.0424,NA,31.128,121.87,71,0.05,3.08,6.79,C13_c,0,0,0,1,0,0,0,0,0,1,1237,1306,27.80000003,18511.75,22.19,0.96
181,C13_d,NN03 _ Nakhon Nayok,NA,Vegetative swamp,12/01/19,14.27308,101.0424,NA,28.247,136.03,83.33,0.06,1.85,6.59,C13_d,0,1,0,1,0,0,0,0,0,2,1237,1306,27.80000003,18511.75,7.26,0.36
182,C13_e,NN03 _ Nakhon Nayok,NA,Vegetative swamp,20/04/19,14.27308,101.0424,NA,31.4,203.83,118,0.08,1.82,6.48,C13_e,0,0,0,1,0,0,0,0,0,1,1237,1306,27.80000003,18511.75,10.18,0.89
183,C13_f,NN03 _ Nakhon Nayok,NA,Vegetative swamp,13/07/19,14.27308,101.0424,NA,31.35,129.37,75,0.05,2.66,6.88,C13_f,0,1,0,0,0,0,0,1,0,2,1237,1306,27.80000003,18511.75,13.16,0.43
184,C14_a,NN04 _Nakhon Nayok,NA,Vegetative swamp,28/04/18,14.27456,101.04876,NA,28.03,87.87,54,0.04,5.03,6.72,C14_a,0,1,0,1,0,0,1,0,0,3,1237,1306,27.80000003,18511.75,12.71,1.22
185,C14_b,NN04 _Nakhon Nayok,NA,Vegetative swamp,14/07/18,14.27456,101.04876,NA,31.676,88.87,5.1,0.04,7.48,6.66,C14_b,0,1,0,1,0,0,1,1,0,4,1237,1306,27.80000003,18511.75,14.91,0.86
186,C14_c,NN04 _Nakhon Nayok,NA,Vegetative swamp,06/10/18,14.27456,101.04876,NA,32.511,91.07,79.53,0.04,4.47,6.66,C14_c,0,1,0,0,0,0,0,0,0,1,1237,1306,27.80000003,18511.75,22.2,0.63
187,C14_d,NN04 _Nakhon Nayok,NA,Vegetative swamp,12/01/19,14.27456,101.04876,NA,28.871,107.27,65,0.05,4.04,6.3,C14_d,0,1,0,1,0,0,1,1,0,4,1237,1306,27.80000003,18511.75,11.71,0.39
188,C14_e,NN04 _Nakhon Nayok,NA,Vegetative swamp,20/04/19,14.27456,101.04876,NA,33.62,143.93,80,0.06,8.77,6.37,C14_e,0,1,0,0,0,0,0,0,0,1,1237,1306,27.80000003,18511.75,34.3,1.6
189,C14_f,NN04 _Nakhon Nayok,NA,Vegetative swamp,13/07/19,14.27456,101.04876,NA,32.58,116.47,66.33,0.05,6.92,6.68,C14_f,0,1,0,0,0,0,1,0,0,2,1237,1306,27.80000003,18511.75,7.04,0.36
190,C15_a,Opposite NN04 _Nakhon Nayok,NA,Vegetative swamp,12/10/18,14.27457,101.04809,NA,NA,NA,NA,NA,NA,NA,C15_a,0,0,0,1,0,0,0,1,0,2,1237,1306,27.80000003,18511.75,NA,NA
191,C15_b,Opposite NN04 _Nakhon Nayok,NA,Vegetative swamp,12/01/19,14.27457,101.04809,NA,NA,NA,NA,NA,NA,NA,C15_b,0,1,0,0,0,0,1,0,0,2,1237,1306,27.80000003,18511.75,NA,NA
192,C15_c,Opposite NN04 _Nakhon Nayok,NA,Vegetative swamp,13/07/19,14.27457,101.04809,NA,NA,NA,NA,NA,NA,NA,C15_c,0,1,0,1,0,0,0,1,0,3,1237,1306,27.80000003,18511.75,NA,NA
193,C16_a,NN05 _Nakhon Nayok,NA,Pond,28/04/18,14.2754,101.04661,NA,29.738,660.8,393.67,0.29,4.49,6.99,C16_a,0,0,0,0,1,0,0,0,0,1,1237,1306,27.80000003,18510.5,30.36,4.71
194,C16_b,NN05 _Nakhon Nayok,NA,Pond,14/07/18,14.2754,101.04661,NA,30.961,463.27,27.03,0.2,3.94,6.13,C16_b,0,0,0,0,0,0,0,0,0,0,1237,1306,27.80000003,18510.5,19.39,1.44
195,C16_c,NN05 _Nakhon Nayok,NA,Pond,06/10/18,14.2754,101.04661,NA,33.497,221.1,191.13,0.09,9.13,7.19,C16_c,0,0,0,0,0,0,0,0,0,0,1237,1306,27.80000003,18510.5,8.2,0.24
196,C16_d,NN05 _Nakhon Nayok,NA,Pond,12/01/19,14.2754,101.04661,NA,29.743,266.2,158.33,0.11,6.78,6.23,C16_d,0,0,0,0,1,0,0,0,0,1,1237,1306,27.80000003,18510.5,49.61,3.07
197,C16_e,NN05 _Nakhon Nayok,NA,Pond,20/04/19,14.2754,101.04661,NA,35.87,438.5,236,0.17,13.01,6.7,C16_e,0,1,0,0,0,0,0,0,0,1,1237,1306,27.80000003,18510.5,68.23,11.37
198,C16_f,NN05 _Nakhon Nayok,NA,Pond,13/07/19,14.2754,101.04661,NA,33.19,300,168.67,0.12,8.35,7.18,C16_f,0,0,0,0,0,0,0,0,0,0,1237,1306,27.80000003,18510.5,19.29,1.48
199,C17_a,NN06 _Nakhon Nayok,NA,Pond,28/04/18,14.2843,101.03203,8,27.911,97.1,59.67,0.04,6.92,7.8,C17_a,0,0,0,0,0,0,0,0,0,0,1237,1300,27.8083334,18483.33333,5.34,1.64
200,C17_b,NN06 _Nakhon Nayok,NA,Pond,14/07/18,14.2843,101.03203,8,34.46,100.93,5.57,0.04,5.49,7.58,C17_b,0,0,0,0,0,0,0,1,0,1,1237,1300,27.8083334,18483.33333,5.65,1.5
201,C17_c,NN06 _Nakhon Nayok,NA,Pond,06/10/18,14.2843,101.03203,8,32.9,74.57,64.53,0.03,4.32,7.47,C17_c,0,1,0,0,0,0,0,0,0,1,1237,1300,27.8083334,18483.33333,6.05,0.63
202,C17_d,NN06 _Nakhon Nayok,NA,Pond,12/01/19,14.2843,101.03203,8,32.799,103.13,58.33,0.04,6.44,7.09,C17_d,0,0,0,0,0,0,0,0,0,0,1237,1300,27.8083334,18483.33333,5.96,0.58
203,C17_e,NN06 _Nakhon Nayok,NA,Pond,20/04/19,14.2843,101.03203,8,35.58,108.47,58.67,0.04,6.92,7.76,C17_e,0,0,0,0,0,0,1,0,0,1,1237,1300,27.8083334,18483.33333,3.39,0.45
204,C17_f,NN06 _Nakhon Nayok,NA,Pond,13/07/19,14.2843,101.03203,8,35.38,106.07,57.33,0.04,7.76,7.86,C17_f,0,0,0,0,0,0,0,0,0,0,1237,1300,27.8083334,18483.33333,1.11,0.21
205,C18_a,NN07 _Nakhon Nayok,NA,Pond,28/04/18,14.23932,101.0749,NA,30.158,121.9,72,0.05,4.1,7.29,C18_a,0,0,0,0,0,0,0,0,0,0,1237,1325,27.7833333,18529.08333,5.13,0.86
206,C18_b,NN07 _Nakhon Nayok,NA,Pond,14/07/18,14.23932,101.0749,NA,32.466,132.53,7.57,0.05,5.42,7.38,C18_b,0,0,0,0,0,0,1,1,0,2,1237,1325,27.7833333,18529.08333,8.78,0.52
207,C19,NN08 _Nakhon Nayok,NA,Pond,28/04/18,14.23932,101.0749,NA,27.44,245.63,173,0.13,2.62,6.93,C19,0,0,0,0,0,1,0,0,0,1,1237,1325,27.7833333,18529.08333,12.46,6.03
145,C2_1_a,Bueng Senat _ Nakhon Sawan,1,Vegetative swamp,10/06/15,15.729033,100.149783,NA,33.66,405,NA,0.1,3.11,7.08,C2_1_a,0,0,0,0,0,0,0,0,0,0,1082,1105,28.2750001,18994.25,NA,NA
146,C2_1_b,Bueng Senat _ Nakhon Sawan,1,Vegetative swamp,22/12/15,15.729033,100.149783,NA,26.07,386,NA,0.18,3.48,6.57,C2_1_b,0,0,0,0,0,0,0,0,0,0,1082,1105,28.2750001,18994.25,NA,NA
147,C2_2,Bueng Senat _ Nakhon Sawan,2,Vegetative swamp,22/12/15,15.733213,100.136731,NA,25.85,411,NA,0.19,2.37,6.31,C2_2,0,0,0,0,0,0,0,0,0,0,1082,1115,28.26666673,18937.91667,NA,NA
208,C20_a,NN09 _Nakhon Nayok,NA,Marsh,28/04/18,14.18572,101.0407,8,29.106,895.4,540,0.4,2.37,6.94,C20_a,0,0,0,0,0,0,0,0,0,0,1237,1300,27.79166667,18559.91667,60.7,3.92
209,C20_b,NN09 _Nakhon Nayok,NA,Marsh,14/07/18,14.18572,101.0407,8,32.802,943.2,5.34,0.4,7.08,7.8,C20_b,0,0,0,0,0,0,0,0,0,0,1237,1300,27.79166667,18559.91667,54.16,4.42
210,C20_c,NN09 _Nakhon Nayok,NA,Marsh,06/10/18,14.18572,101.0407,8,35.226,581.7,485.6,0.23,6.59,6.96,C20_c,0,0,0,0,0,0,0,0,0,0,1237,1300,27.79166667,18559.91667,44.45,1.33
211,C20_d,NN09 _Nakhon Nayok,NA,Marsh,12/01/19,14.18572,101.0407,8,32.393,779.5,443.67,0.33,6.79,6.62,C20_d,0,0,0,0,0,0,0,0,0,0,1237,1300,27.79166667,18559.91667,22.36,1.77
212,C20_e,NN09 _Nakhon Nayok,NA,Marsh,20/04/19,14.18572,101.0407,8,37.83,987.57,515.33,0.38,11.82,6.92,C20_e,0,0,0,0,0,0,0,0,0,0,1237,1300,27.79166667,18559.91667,46.34,2.39
213,C20_f,NN09 _Nakhon Nayok,NA,Marsh,13/07/19,14.18572,101.0407,8,35.13,875.77,477.33,0.35,13.62,8.36,C20_f,0,0,0,0,0,0,0,0,0,0,1237,1300,27.79166667,18559.91667,14.18,4.64
214,C21,NN10 _Nakhon Nayok,NA,Pond,14/07/18,NA,NA,NA,32.396,167.57,95.67,0.07,10.05,8.08,C21,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,19.4,6.22
215,C22_a,NN11 _Nakhon Nayok,NA,Marsh,14/07/18,14.09926,100.95799,3,31.513,2385.8,137.97,1.07,6.37,7.27,C22_a,0,0,0,0,1,0,1,0,0,2,1108,1265,27.75833321,18511.25,12.5,0.7
216,C22_b,NN11 _Nakhon Nayok,NA,Swamp,06/10/18,14.09926,100.95799,3,33.081,680.23,588.47,0.28,4.92,6.85,C22_b,0,1,1,0,0,0,0,0,0,2,1108,1265,27.75833321,18511.25,20.12,0.78
217,C22_c,NN11 _Nakhon Nayok,NA,Swamp,12/01/19,14.09926,100.95799,3,32.272,2723.13,1549.33,1.21,7.02,6.6,C22_c,0,0,0,0,0,0,0,0,0,0,1108,1265,27.75833321,18511.25,45.87,1.46
218,C22_d,NN11 _Nakhon Nayok,NA,Swamp,20/04/19,14.09926,100.95799,3,39.1,3895,1994.67,1.56,16.75,8.09,C22_d,0,0,0,0,0,0,0,0,0,0,1108,1265,27.75833321,18511.25,71.75,13.38
219,C22_e,NN11 _Nakhon Nayok,NA,Swamp,13/07/19,14.09926,100.95799,3,37.24,2354.3,1240,0.95,17.32,8.86,C22_e,0,0,0,0,0,0,0,0,0,0,1108,1265,27.75833321,18511.25,45.33,4.44
220,C23_a,NP01 _ Nakhon Pathom,NA,Pond,29/04/18,13.96801,100.00594,9,29.58,1182.6,707,0.53,2.34,7.98,C23_a,0,0,0,0,0,0,0,0,0,0,1096,992,28.04999987,18448.83333,29.45,1.57
221,C23_b,NP01 _ Nakhon Pathom,NA,Pond,15/07/18,13.96801,100.00594,9,29.712,1085.43,647.33,0.48,1.99,7.89,C23_b,0,0,0,0,0,0,0,0,0,0,1096,992,28.04999987,18448.83333,31.57,2.26
222,C23_c,NP01 _ Nakhon Pathom,NA,Pond,07/10/18,13.96801,100.00594,9,30.623,884.4,519,0.39,4.15,0.39,C23_c,0,0,0,0,0,0,0,0,0,0,1096,992,28.04999987,18448.83333,17.07,0.62
223,C23_d,NP01 _ Nakhon Pathom,NA,Pond,13/01/19,13.96801,100.00594,9,27.743,1121.83,694.33,0.53,7.39,7.42,C23_d,0,0,0,0,0,0,0,0,0,0,1096,992,28.04999987,18448.83333,33,1.67
224,C23_e,NP01 _ Nakhon Pathom,NA,Pond,21/04/19,13.96801,100.00594,9,32.31,1248.1,711,0.53,2.63,8.19,C23_e,0,0,0,0,0,0,0,0,0,0,1096,992,28.04999987,18448.83333,8.73,0.54
225,C23_f,NP01 _ Nakhon Pathom,NA,Pond,14/07/19,13.96801,100.00594,9,30.92,962.7,562,0.42,2.54,7.04,C23_f,0,0,0,0,0,0,0,0,0,0,1096,992,28.04999987,18448.83333,18.12,0.97
226,C24_a,NP02 _ Nakhon Pathom,NA,Vegetative swamp,29/04/18,13.95565,100.00951,3,30.371,234.1,137.67,0.1,6.23,8.15,C24_a,0,0,0,0,0,0,0,0,0,0,1096,997,28.0333333,18446.91667,1.77,0.49
227,C24_b,NP02 _ Nakhon Pathom,NA,Vegetative swamp,15/07/18,13.95565,100.00951,3,30.354,551.97,325.33,0.24,4.52,8.15,C24_b,0,0,0,0,0,0,0,0,0,0,1096,997,28.0333333,18446.91667,7.31,2.53
228,C24_c,NP02 _ Nakhon Pathom,NA,Vegetative swamp,07/10/18,13.95565,100.00951,3,31.67,614.27,354,0.26,5.66,0.26,C24_c,0,0,0,0,0,0,0,0,0,0,1096,997,28.0333333,18446.91667,4.52,2.16
229,C24_d,NP02 _ Nakhon Pathom,NA,Vegetative swamp,13/01/19,13.95565,100.00951,3,28.34,317.63,194,0.14,7.31,7.83,C24_d,0,0,0,1,1,0,0,1,0,3,1096,997,28.0333333,18446.91667,9.11,0.68
230,C24_e,NP02 _ Nakhon Pathom,NA,Vegetative swamp,21/04/19,13.95565,100.00951,3,30.74,8699.7,7430,6.46,5.43,7.84,C24_e,0,0,0,0,0,0,0,0,0,0,1096,997,28.0333333,18446.91667,69.04,2.05
231,C24_f,NP02 _ Nakhon Pathom,NA,Vegetative swamp,14/07/19,13.95565,100.00951,3,30.88,8899.53,5197.67,4.3,6.73,8.1,C24_f,0,0,0,0,0,0,0,0,0,0,1096,997,28.0333333,18446.91667,1.42,0
232,C25_a,NP03 _ Nakhon Pathom,NA,Swamp,29/04/18,14.0848,99.96353,11,31.013,1048.93,611.33,0.46,4.48,7.88,C25_a,0,0,0,0,0,0,0,0,0,0,1029,969,28.09166686,18481.83333,1.74,1.59
233,C25_b,NP03 _ Nakhon Pathom,NA,Swamp,15/07/18,14.0848,99.96353,11,30.759,1032.17,604.67,0.45,5.99,8.23,C25_b,0,0,0,0,0,0,0,0,0,0,1029,969,28.09166686,18481.83333,3.06,1.1
234,C25_c,NP03 _ Nakhon Pathom,NA,Swamp,07/10/18,14.0848,99.96353,11,33.003,868.8,489.33,0.36,3.83,0.36,C25_c,0,0,0,1,0,0,0,0,0,1,1029,969,28.09166686,18481.83333,3.94,0.29
235,C25_d,NP03 _ Nakhon Pathom,NA,Swamp,13/01/19,14.0848,99.96353,11,29.989,991.23,588.33,0.44,12.97,7.82,C25_d,0,0,0,0,0,0,0,0,0,0,1029,969,28.09166686,18481.83333,21.29,5.87
236,C25_e,NP03 _ Nakhon Pathom,NA,Swamp,21/04/19,14.0848,99.96353,11,34.75,1121.6,613.33,0.46,7.66,8.35,C25_e,0,0,0,0,0,0,0,0,0,0,1029,969,28.09166686,18481.83333,2.67,-0.03
237,C25_f,NP03 _ Nakhon Pathom,NA,Swamp,14/07/19,14.0848,99.96353,11,32.51,1038.63,590.33,0.44,7.01,7.74,C25_f,0,0,0,0,0,0,0,0,0,0,1029,969,28.09166686,18481.83333,0.02,0.23
238,C26_a,NP04 _ Nakhon Pathom,NA,Swamp,29/04/18,14.02235,99.9905,8,30.857,632.9,368.67,0.27,11.08,8.56,C26_a,0,0,0,0,0,0,0,0,0,0,1029,984,28.0916667,18450.08333,31.89,13.16
239,C26_b,NP04 _ Nakhon Pathom,NA,Swamp,15/07/18,14.02235,99.9905,8,30.734,643.2,368.67,0.27,11.08,8.56,C26_b,0,0,0,0,0,0,0,0,0,0,1029,984,28.0916667,18450.08333,31.89,13.16
240,C27_a,NP05 _ Nakhon Pathom,NA,Swamp,29/04/18,14.02803,99.88803,7,31.924,745.2,427.33,0.32,7.51,8.37,C27_a,0,0,0,0,0,0,0,0,0,0,1029,972,28.06666644,18476.41667,11.66,3.4
241,C27_b,NP05 _ Nakhon Pathom,NA,Swamp,15/07/18,14.02803,99.88803,7,30.734,643.2,377,0.28,8.02,8.36,C27_b,0,0,0,0,0,0,0,0,0,0,1029,972,28.06666644,18476.41667,27.15,5.15
242,C27_c,NP05 _ Nakhon Pathom,NA,Swamp,07/10/18,14.02803,99.88803,7,34.887,635.13,347,0.25,5.36,8.56,C27_c,0,0,0,0,0,0,0,0,0,0,1029,972,28.06666644,18476.41667,23.35,1.85
243,C27_d,NP05 _ Nakhon Pathom,NA,Swamp,13/01/19,14.02803,99.88803,7,29.692,859.33,512.33,0.38,6.97,7.5,C27_d,0,0,0,0,0,0,0,0,0,0,1029,972,28.06666644,18476.41667,12.21,2.1
244,C27_e,NP05 _ Nakhon Pathom,NA,Swamp,21/04/19,14.02803,99.88803,7,33.16,13564.8,1434.67,1.11,3.62,8.1,C27_e,0,0,0,1,0,0,1,0,0,2,1029,972,28.06666644,18476.41667,11.86,0.24
245,C27_f,NP05 _ Nakhon Pathom,NA,Swamp,14/07/19,14.02803,99.88803,7,31.25,648.97,376.67,0.28,6.34,7.59,C27_f,0,0,0,0,0,0,0,0,0,0,1029,972,28.06666644,18476.41667,40.01,4.84
246,C28_a,NP06 _ Nakhon Pathom,NA,Swamp,29/04/18,14.02848,99.97524,15,31.439,425.9,246.67,0.18,8.75,12.99,C28_a,0,0,0,0,0,0,0,0,0,0,1029,979,28.0916667,18471.5,33.7,8.84
247,C28_b,NP06 _ Nakhon Pathom,NA,Swamp,15/07/18,14.02848,99.97524,15,30.359,464.8,273.67,0.2,5.46,8.11,C28_b,0,0,0,0,0,0,1,0,0,1,1029,979,28.0916667,18471.5,36.22,6.59
248,C28_c,NP06 _ Nakhon Pathom,NA,Swamp,13/01/19,14.02848,99.97524,15,NA,NA,NA,NA,NA,8.11,C28_c,0,0,0,0,0,0,0,0,0,0,1029,979,28.0916667,18471.5,NA,NA
249,C29_a,NP08 _ Nakhon Pathom,NA,Marsh,29/04/18,14.04001,99.9547,9,31.769,2857.2,1646.67,1.29,6.92,8.41,C29_a,0,0,0,0,0,0,0,0,0,0,1029,973,28.0916667,18486,21.73,1.51
250,C29_b,NP08 _ Nakhon Pathom,NA,Marsh,15/07/18,14.04001,99.9547,9,30.023,2696.77,1598.33,1.25,6,8.15,C29_b,0,0,0,0,0,0,0,0,0,0,1029,973,28.0916667,18486,13.91,1.07
251,C29_c,NP08 _ Nakhon Pathom,NA,Marsh,07/10/18,14.04001,99.9547,9,32.23,1786.83,1012.67,0.77,4.63,7.94,C29_c,0,0,0,0,0,0,0,0,0,0,1029,973,28.0916667,18486,22.81,1.11
252,C29_d,NP08 _ Nakhon Pathom,NA,Marsh,13/01/19,14.04001,99.9547,9,29.799,826.15,1444.33,1.13,5.62,7.55,C29_d,0,0,0,0,1,0,0,1,0,2,1029,973,28.0916667,18486,14.61,0.93
253,C29_e,NP08 _ Nakhon Pathom,NA,Marsh,21/04/19,14.04001,99.9547,9,33.09,813.07,457.67,0.34,4.83,8.32,C29_e,0,0,0,0,0,0,0,1,0,1,1029,973,28.0916667,18486,9.47,2.6
254,C29_f,NP08 _ Nakhon Pathom,NA,Marsh,14/07/19,14.04001,99.9547,9,31.2,1782.9,1036.33,0.79,4.83,7.53,C29_f,0,0,0,0,0,0,0,0,0,0,1029,973,28.0916667,18486,22.83,1.45
148,C3_1_a,Bueng Boraphet _ Nakhon Sawan,1,Algae swamp,01/02/18,15.71206,100.19368,53,28.34,249,152,0.11,7.16,8.01,C3_1_a,0,0,0,0,0,0,0,0,0,0,1082,1077,28.26666673,19124.5,NA,NA
149,C3_1_b,Bueng Boraphet _ Nakhon Sawan,1,Algae swamp,11/07/18,15.71206,100.19368,96,28.71,300,182,0.13,4.92,8.48,C3_1_b,0,0,0,1,0,0,0,0,0,1,1082,1077,28.26666673,19124.5,NA,NA
150,C3_2_a,Bueng Boraphet _ Nakhon Sawan,2,Algae swamp,01/02/18,15.71333,100.24414,25,27.71,245,151,0.11,7.19,8,C3_2_a,0,0,0,0,0,0,0,0,0,0,1082,1052,28.01666641,19223.33333,NA,NA
151,C3_2_b,Bueng Boraphet _ Nakhon Sawan,2,Algae swamp,11/07/18,15.71333,100.24414,25,29.54,300,179,0.13,5.97,8.2,C3_2_b,0,0,0,1,0,0,1,1,0,3,1082,1052,28.01666641,19223.33333,NA,NA
152,C3_3_a,Bueng Boraphet _ Nakhon Sawan,3,Algae swamp,01/02/18,15.70474,100.23011,27,27.52,244,152,0.11,6.94,7.76,C3_3_a,0,0,0,0,0,0,0,0,0,0,1082,1053,28.10833327,19230.08333,NA,NA
153,C3_3_b,Bueng Boraphet _ Nakhon Sawan,3,Algae swamp,11/07/18,15.70474,100.23011,50,29.38,298,178,0.13,5.91,8.18,C3_3_b,0,0,0,1,0,0,1,1,0,3,1082,1053,28.10833327,19230.08333,NA,NA
154,C3_4_a,Bueng Boraphet _ Nakhon Sawan,4,Algae swamp,01/02/18,15.6956,100.21046,20,27.69,245,151,0.11,6.81,7.77,C3_4_a,0,0,0,0,0,0,0,0,0,0,1082,1057,28.22500006,19202,NA,NA
155,C3_4_b,Bueng Boraphet _ Nakhon Sawan,4,Algae swamp,11/07/18,15.6956,100.21046,93,29.34,302,181,0.13,4.63,8.09,C3_4_b,0,0,0,0,1,0,1,1,0,3,1082,1057,28.22500006,19202,NA,NA
156,C3_5,Bueng Boraphet _ Nakhon Sawan,5,Algae swamp,11/07/18,15.69,100.25208,24,29.83,291,173,0.12,5.57,8.1,C3_5,0,0,0,0,0,0,0,1,0,1,1082,1045,28.125,19227.58333,NA,NA
255,C30,NP09 _ Nakhon Pathom,NA,Swamp,15/07/18,13.91866,100.00884,6,30.689,598.57,351,0.26,5.48,8.15,C30,0,0,0,0,0,0,1,1,0,2,1096,1003,28.0333333,18452.41667,8.27,4.68
256,C31,NP10 _ Nakhon Pathom,NA,Swamp,15/07/18,13.9621,99.98694,NA,28.156,2932.17,1797.67,1.42,3.01,7.54,C31,0,0,0,0,0,0,0,0,0,0,1163,993,28.05833324,18430.25,23.96,1.29
